概念名,标签,描述摘要,所属大类,建议分解方向,分解理由,是否为原子概念,建议新建父概念,处理优先级
三从,"礼制, 儒家, 伦理",中国古代约束女性的三条道德规范——未嫁从父、既嫁从夫、夫死从子，是封建礼教对女性角色的基本定位,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
三代,"历史, 夏, 商, 周",中国古代最早三个王朝——夏、商、周的合称，是儒家政治理想中王道盛世的典范时期,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
三令五申,"成语, 隋, 军事, 纪律",多次命令和告诫,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
三光,"天文, 历法, 哲学",中国古代对日、月、星辰的合称，以三光象征天道秩序，亦用以比喻三公辅政,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
三军,"军事, 先秦, 军制",中国古代军队编制的核心概念，指上军、中军、下军（或左、中、右）三支军队的合称，亦为军队总称,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
三台,"天文, 制度",三台，星名，亦指尚书、御史、谒者三台，古代中央最高官署之代称。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
三司,"三司, 官制",古代三公或三司之合称，东汉后指太尉、司徒、司空。,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
三司使,"官职, 唐代, 五代",三司使，唐代后期至五代掌管财赋的最高长官，总领盐铁、度支、户部三司,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
三教,"宗教, 哲学, 文化",中国古代三大主要思想体系——儒教、佛教、道教的合称，是中国传统文化的精神支柱,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
三族,"法制, 刑法, 宗法",中国古代最严厉的连坐刑罚——诛及三族（父族、母族、妻族），是秦汉时期惩治谋反大逆的极刑,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
三王,"三代, 圣王, 儒家",中国古代夏商周三代开国君主的合称——夏禹、商汤、周文王（或周武王），代表儒家政治理想中的王道盛世,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
三皇,"传说, 远古, 帝王",中国古代传说中的三位远古帝王——天皇、地皇、人皇（或燧人氏、伏羲氏、神农氏），是华夏文明起源的神话象征,神话,建议并入哲学思想或作为独立父概念,神话传说与早期思想史交织,否,建议确认「神话·传说」是否作为新的独立父概念,中
三省,"官制, 隋唐, 中央官制",隋唐时期中央政府的三个核心决策机构——中书省、门下省、尚书省的合称，是中国古代三省六部制的核心,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
三纲,"伦理, 儒家, 政治哲学",中国古代儒家伦理的核心规范——君为臣纲、父为子纲、夫为妻纲，是维系社会等级秩序的三大基本原则,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
三老,"三老, 乡官, 制度",秦汉乡官，掌教化，由年高德劭者担任。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
三铨,"官职, 唐代",三铨，唐代吏部铨选制度，由尚书、侍郎分掌的三种选官程序。,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
上下,"政治, 社会",上下，尊卑高下，古代指社会等级秩序或君臣关系。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
上书,"文书, 奏议, 谏诤",古代臣民向君王呈递书面意见或建议的行为，战国至秦汉尤盛。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
上军,职官,上军，古代三军之一；亦为上军校尉简称,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
上寿,"礼仪, 宫禁",臣下向皇帝敬酒祝寿的礼仪。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
上将军,职官,最高军事统帅的称号,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
上尊号,"礼制, 天子, 尊号",臣下为帝王或太后上尊崇之号，以彰功德,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
上巳,"节日, 礼制, 祓禊",古代节日，三月上巳日临水祓禊，后演为宴饮之会,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
上林令,"职官, 苑囿",上林令，掌上林苑，属少府。,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
上柱国,"政治, 官制, 荣誉",战国至隋唐时期的最高荣誉官爵，楚国的最高武职，后代演变为勋官之最。,爵位,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
上疏,"政治, 文书, 谏诤, 制度",臣下向皇帝上书陈事，为古代君臣沟通的重要方式。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
上表,制度,上表，臣子向皇帝呈递奏章,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
上计,"制度, 考课",古代年终地方向中央呈报政绩的考课制度。,度量,度量·数量·基础,,,待定,中
下,"哲学, 社会",下，下位、卑下、下民；下陵上替为乱世之象，下民易虐为暴政之弊。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
下_(概念),"思想, 社会, 下, [[低]]、[[贱_(概念)|贱]]、[[卑_(概念)|卑]]、[[高_(概念)|高]]",下位、降低。上下粲然有伦为礼之效，下令如流水为政之通。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
下军,职官,下军，古代三军之一；亦为下军校尉简称,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
不以为然,"成语, 三国, 南北朝, 唐",不认为是对的，多表示不同意或轻视；出自晋裴頠论废后、前燕皇甫真评王猛等,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
不修小节,"成语, 唐",不注意生活琐事,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
不入虎穴焉得虎子,"成语, 东汉, 班超",班超言不入虎穴就抓不到虎崽，比喻不冒风险就难获成功,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
不可胜数,"成语, 秦, 西汉",多得数不过来；出自秦杀公子、陈胜起义、蒯彻论楚汉相争等,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
不孝,"制度, 法律",不孝，古代重罪罪名,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
不寒而栗,"成语, 西汉, 酷吏, 五代",不冷而发抖，形容极其恐惧,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
不才,"文化, 称谓",谦辞，意为无才能，古人用作自谦之词,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
不护细行,"成语, 南北朝",不拘小节，不注重生活细节,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
不拘小节,"成语, 南北朝, 隋",不为生活琐事所拘束，形容人洒脱豪放,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
不敬,"制度, 法律",不敬，古代罪名,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
不臣,"政治, 礼制, 君臣",行为不合臣道，有悖君臣之义，为古代政治伦理中的严重指控。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
不讳,"概念, 礼俗, 称谓",不讳，指死亡，古代对死亡的委婉说法，常用于帝王或尊长，意为不可避讳之事。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
不识大体,"成语, 南北朝, 唐",不能认清大局，不懂事理；出自刘宋刘义恭、唐魏征谏太宗、姚璹辩大体,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
不豫,"不豫, 医药, 礼制",古代帝王有疾之称，亦指天子不适。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
不远千里,"成语, 战国, 东汉",不以千里为远，形容不辞辛劳远道而来；出自孟子见魏惠王、李固求学,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
不道,"制度, 法律",不道，古代重罪罪名,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
与民休息,"成语, 西汉, 治道",指让百姓休养生息，不扰民；出自班固论汉兴、霍光轻徭薄赋,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
丑_(概念),"文化, 历法, 丑, [[子_(概念)|子]] | [[寅_(概念)|寅]] | [[卯_(概念)|卯]] | [[地支]]",地支第二位，与天干相配以纪日,时间,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
专征,"政治, 军事, 制度, 权力",不经请示而自行征伐的权力，古代帝王授予诸侯或大将的军事特权。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
专断,"政治, 制度",专断，独断专行，独自决断。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
专权,"政治, 制度",专权，独揽大权，古代指臣下专断国政、大权独揽。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
丘_(概念),"周, 战国, 地理, 丘, [[山]] | [[陵]] | [[谷]] | [[地理]] | [[沙丘]]",丘，小土山，亦常用于地名,地理,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
丘墟,"战争, 地理",废墟，战乱后城池荒废之状。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
丙_(概念),"文化, 历法, 丙, [[丁_(概念)|丁]]、[[戊_(概念)|戊]]、[[己_(概念)|己]]、[[庚_(概念)|庚]]、[[辛_(概念)|辛]]、[[天干]]",天干第三位，与地支相配以纪年、月、日,时间,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
东_(概念),"方位, 东",东方，四方位之首，日出之向,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
东北,地理,东北，方位名称，在《资治通鉴》中常指具体地理方位或边疆区域。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
东厢,"概念, 宫殿, 建筑",东厢，指正殿东侧的厢房，古代宫中议事、召见、宴请之所。,建筑,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
东园,制度,东园，东园匠及皇家丧葬器物,建筑,东园匠及丧葬器物，归入器物,具体机构/器物，无需分解,,需审核,低
东平王,"王号, 汉代",东平王，汉代诸侯王号。,官制,具体王号，归入封爵体系,具体封爵名号，无需再分解,,需审核,低
东羌,"民族, 羌, 东汉",东汉时居于关中东部及并州的羌人部落,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
东观,"文化, 官制, 藏书, 修史",东观。东观为汉代宫中修史藏书之所，汉末名儒集东观校书，东观令为吴国史官之职。,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
丝竹,"文化, 音乐",弦乐器和管乐器，泛指音乐。,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
丝绵,经济,丝绵生产与赋税实物，古代农桑经济的核心产品。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
丞,"官职, 制度",丞，古代辅佐长官之副职；通鉴记商鞅并小乡聚为县置令丞，秦初置丞相以樗里疾为右丞相。,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
丞郎,"制度, 官职, 尚书省",丞郎，尚书省左右丞及诸曹郎中，中央政务官之要职。,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
两_(概念),"计量, 两, [[二]] | [[双]] | [[半]] | [[计量]] | [[数]]",两分两数,度量,度量·数量·基础,,,待定,中
两汉,"西汉, 东汉, 历史分期",两汉，西汉与东汉之合称，历四百余年,度量,度量·数量·基础,,,待定,中
两税,"赋税, 制度",唐德宗时宰相杨炎创立的两税法，以丁产定等级征钱，取代租庸调制。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
两税法,"唐, 德宗, 杨炎, 租庸调, 赋税制度",唐德宗建中年间（780年）杨炎推行的赋税改革，废除租庸调制，按资产和土地分夏、秋两税，是中国赋税史上的重大变革,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
两翼,军事,两翼，左右两侧，军阵之侧翼部队。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
严刑,"法律, 制度",严厉的刑罚，以重法惩治奸恶,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
严办,"军事, 行政, 治军",严加整治办理，指军中或官府严格部署、严肃办事的态度。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
严备,军事,严备，严密戒备，古代军事防御之重要措施。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
严峻,"政治, 法治",严酷峻急，指法令严厉或执法刻薄,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
严法,法律,严法，严酷法律，古代以严法刻刑治国之理念。,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
严酷,"法律, 政治",严酷，严厉残酷，用法严苛。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
严阵,"军事, 战术, 防御",严整阵势以待敌军，为古代军队战前准备的基本战术动作。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
严鼓,"军事, 信号, 备战",紧急击鼓示警，为古代军事中紧急集合、进入战备状态的信号。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
丧_(概念),,丧事、丧礼；指人死后之殡葬祭祀仪节,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
丧制,"礼制, 丧礼, 制度, 儒家",丧葬礼仪制度，古代礼制的重要组成部分。通鉴中丧制涉及服丧年限、丧服等级等规范。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
丧师,"军事, 败绩, 战争",军队战败损失，为古代军事中指军队遭受重大伤亡的惨重失败。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
丧胆,"军事, 心理, 战术",恐惧至极、胆气丧失，为古代形容敌军极度畏惧的心理状态。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
中书,职官,中书令简称，掌机要文书，多为宦官担任,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
中书侍郎,职官,中书侍郎，中书省副长官,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
中书舍人,"官职, 魏晋, 隋唐",中书舍人，魏晋至隋唐中书省要职，掌起草诏令、参预机要、侍从顾问,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
中元,"年号, 光武帝, 东汉",东汉光武帝刘秀最后一个年号（56—57），共二年,年号,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
中兴,政治,中兴，王朝由衰转盛。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
中军,"军制, 职官",中军，主力部队；亦为中军将军、中军府令简称,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
中卫,职官,中卫将军，掌宫中宿卫,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
中国,"周, 秦, 汉, 地理",中国，古代指中原华夏文明区域，与四夷相对,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
中坚,"军事, 战术",军队中最精锐核心之力量，亦为将军号。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
中尉,"秦, 汉, 官制",中尉，秦汉武官，掌京师治安,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
中平,"年号, 汉灵帝, 东汉",汉灵帝第四个年号（184—189），共六年,年号,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
中正,"官职, 魏晋, 制度",中正，魏晋九品中正制下负责品评人物、定品授官的官员,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
中郎,职官,秦汉郎官之一，宿卫宫禁，侍从左右,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
中郎将,职官,中郎将，统领中郎宿卫宫禁,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
丰年,"农业, 经济, 丰收, 祭祀",丰收之年，五谷丰登。通鉴中丰年被视为上天赐福、政通人和的象征。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
丰登,"经济, 农业",丰登，谷物登场丰收，五谷丰登。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
丰稔,"经济, 农业",丰稔，庄稼成熟丰收，年成丰足。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
丰穰,"经济, 农业",丰穰，丰收多产，谷物充盛。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
临朝,"帝位, 政治, 太后",君主或太后亲临朝廷处理政事。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
临轩,"礼仪, 宫禁",天子亲临殿前，举行册拜等大典。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
临陈,"军事, 术语",临陈，亲临战阵之意，指将帅身先士卒、亲赴前线指挥作战,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
丹_(概念),"色彩, 丹",丹色，朱红，古代重要染料与颜料,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
丹书,"制度, 符命",丹书，以朱笔书写的盟誓或符命文书,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
丹漆,"器物, 工艺",丹漆，朱红漆；通鉴记汉武时器物无丹漆为俭德，唐代以丹漆书龟腹为祥瑞献媚。,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
丹青,"文化, 艺术",绘画颜料，代指图画或史册，亦喻信用,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
为所欲为,"成语, 战国, 晋国, 豫让",做想做的事，原指随心所欲行事,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
主_(概念),"政治, 伦理, 主, [[君_(概念)|君]] | [[臣_(概念)|臣]] | [[民_(概念)|民]] | [[帝_(概念)|帝]] | [[王_(概念)|王]]",君主、主人；主导、主要,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
主事,"官职, 南北朝, 隋唐",主事，南北朝至隋唐尚书省及诸台省的低级官员，掌文书案牍、庶务执行,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
主力,"军事, 战术",军队主要力量，亦指一国之君主。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
主父,"称号, 战国, 赵",赵武灵王自称主父，意为太上王,官制,赵武灵王自称，特殊称号,已为原子概念，可归入称号子类,,需审核,低
